Id	Description	Qty	Unit	Designators
1	Cable, 4 wires	0	m	Harness
2	Connector, 4-pin Smart Coil, 4 pins	1		Coil
3	Connector, Chassis Ground, 1 pins	1		Ground
4	Connector, ECU Connector, 2 pins	1		ECU
5	Connector, Switched 12V, 1 pins	1		Battery
